course_id,title,provider_id,provider_name,campus_code,campus_location,fee_type,mode_of_attendance,duration,start_months,atar_year,atar_low,atar_median,atar_high,further_info_url,about,essential,admission_criteria,has_details
531014,Diploma of Business (Fashion and Global Brand Management),ICMS,"International College of Management, Sydney",SD,A2000,,"on_campus,full_time,part_time","1_y_f,eqp","05,09,02",2025.0,NO,NO,NO,,,,,False
283479,Diploma of Applied Science/Bachelor of Environmental Science,GU,Griffith University,NH,A4111,,"on_campus,full_time,part_time","3_y_f,6_y_p",03,2025.0,NP,NP,NP,,,,,False
489819,Diploma in Business,UON,University of Newcastle,CP,A2300,,"on_campus,full_time,part_time","1_y_f,eqp","01,07",2025.0,52.75,61.35,71.30,https://www.newcastle.edu.au/diplomas,"With practical leadership skills in the world of business, you’ll be challenged to become a business trailblazer. Find your interests or develop diverse skills across a broad range of subjects including accounting, finance, law, marketing, business decision-making, business information systems and entrepreneurship. Whether you want to work in business locally, globally, or even start a business of your own, the Diploma in Business will help you get there. You'll receive embedded support from the Pathways and Academic Learning Support Centre, including access to a dedicated Student Liaison Officer, a quiet workspace for independent study and smaller class sizes in your foundational courses. Plus, when you study a Diploma at the University of Newcastle, the supported Pathways courses you complete are FREE. The Diploma in Business provides you with a level 5 diploma qualification and a degree pathway into the University of Newcastle. Upon completion of the Diploma in Business you will receive guaranteed entry into the Bachelor of Business, the Bachelor of Business Analytics, the Bachelor of Commerce and all programs in the Guaranteed Admissions Scheme.",,,True
723570,Bachelor of Traditional Chinese Medicine,WS,Western Sydney University,CA,A2560,,"on_campus,full_time",4_y_f,03,2025.0,63.55,72.95,91.15,https://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-traditional-chinese-medicine.html,"This degree equips practitioners with the knowledge and professional competencies required for a career in acupuncture, Chinese herbal medicine and herb dispensing. Building a solid, broad understanding of biomedicine and various health science fields in this way will give you a deeper understanding of traditional Chinese medicine and help you to work in interdisciplinary teams and centres and assist you in advising clients on treatment options.",Check the special requirements and policies for this course.,,True
366123,Bachelor of Software Engineering/Bachelor of Business Informatics,UC,University of Canberra,CE,A2601,,"on_campus,full_time,part_time","4_y_f,eqp","07,02",2025.0,62.45,69.85,83.45,https://www.canberra.edu.au/course/838AA/5/2024,"Explore the design and construction of software systems alongside the latest business information systems with UC’s Bachelor of Software Engineering/Bachelor of Business Informatics double degree. You’ll get to pursue your interests while completing an industry-accredited qualification. Recognised by the Australian Computer Society, this cutting-edge course offers the ability to choose subjects from a range of specialty areas, such as computer security, network computing, games development, cloud computing, digital skills, data science and intelligence systems. Helping you to become an exceptional software engineer will be work placement opportunities with UC’s industry partners, and the final year research project that will see you produce and implement a real-world engineering solution for a real business. Successful students are awarded two separate degrees upon completion of their study.",,Refer to the UC general admission criteria .,True
725070,Bachelor of Social Science/Bachelor of Laws,WS,Western Sydney University,CA,A2560,,"on_campus,full_time,part_time","5_y_f,10_y_p","03,07",2025.0,81.15,86.70,93.35,,,,,False
728109,Bachelor of Science/Bachelor of Business,WS,Western Sydney University,HA,A2753,,"on_campus,full_time",4_y_f,03,2025.0,<5,<5,<5,,,,,False
513925,Bachelor of Science (Medical Science),USYD,University of Sydney,US,A2006,,"on_campus,full_time,part_time","3_y_f,6_y_p","08,02",2025.0,81.25,93.0,99.95,,"This stream provides flexible pathways into broad medical science careers. The stream emphasises the interdisciplinary nature of medical sciences while providing depth and breadth. In the first year you will complete units in mathematics, biology, chemistry and medical science. In the second year you will take a series of integrated medical science units covering areas such as physiology, pharmacology, cellular and molecular biology, and anatomy. In the third year you will complete a capstone interdisciplinary experience and choose three medical science electives. Your major studies are complemented by courses from the Open Learning Environment in science or in areas such as entrepreneurial thinking, persuasive communication, project management and ethical reasoning. You will also complete an industry and community project.",,,True
392621,Bachelor of Science,UNE,University of New England,NE,A2351,,"on_campus,full_time,part_time","3_y_f,6_y_p","02,06",2025.0,55.90,81.35,96.45,,,,,False
283347,Bachelor of Psychological Science/Master of Mental Health Practice,GU,Griffith University,GC,A4215,,"on_campus,full_time",4_y_f,"03,07",2025.0,80.10,87.10,93.30,https://www.griffith.edu.au/study/degrees/bachelor-of-psychological-science-master-of-mental-health-practice-5697,"In this vertical degree, you'll gain a thorough grounding in the application of clinical, development, biological, cognitive, social, and organisational psychology. You'll build on this broad knowledge base with studies in the growing specialist area of mental health practice. Learn the latest evidence-based research and specialised knowledge about health services for people with mental illness and collaborate with consumers, carers, and mental health professionals in your studies so that you're prepared for a profession in various settings where mental health knowledge is essential. Note: Bachelor of Psychological Science courses are conducted at the Gold Coast and Brisbane South (Nathan) and Master of Mental Health Practice courses are conducted online (with in-field professional placement).",,,True
391679,Bachelor of Psychological Science,UNE,University of New England,NE,A2351,,"on_campus,full_time,part_time","3_y_f,6_y_p","02,06",2025.0,64.30,74.40,85.85,,,,,False
160900,Bachelor of Podiatry (Honours),CQU,CQUniversity,CQ,A6000,,"online,full_time",4_y_f,03,,,,,https://www.cqu.edu.au/courses/699664/bachelor-of-podiatry-honours,"The Bachelor of Podiatry (Honours) enables you to develop and apply knowledge, skills, and professional behaviours to practice as a Podiatrist. Podiatrists are health professionals who deal with the prevention, diagnosis, treatment, and rehabilitation of medical and surgical conditions of the feet and lower limbs. You will explore various health sciences topics, benefit from completing hands-on clinical placements and develop podiatry-specific skills, enabling you to attain advanced theoretical knowledge and the necessary clinical experience to commence professional practice as a Podiatrist in a variety of clinical settings.",,,True
365107,Bachelor of Occupational Therapy,UC,University of Canberra,CE,A2601,,"on_campus,full_time,part_time","4_y_f,eqp",02,2025.0,75.80,84.95,97.50,https://www.canberra.edu.au,"Discover the science, strategies and theories behind a profession dedicated to helping people live full and meaningful lives regardless of age, disability or limitations. In this course, you will learn to assess a person’s unique issues to offer better, more tailored recovery solutions based on a wholistic and comprehensive look at an individual’s physical, psychosocial and environmental needs. Successful completion of this course will give you a deeper understanding and appreciation of health issues in Australia and the skills to help individuals, groups, and communities engage in the occupations they need to, want to or are expected to do. This course also prepares you for further study opportunities and the chance to gain the additional skills to move into senior, more researched-based positions.",,,True
335101,Bachelor of Nursing,SCU,Southern Cross University,NR,A2480,,"on_campus,full_time,part_time","3_y_f,6_y_p",03,2025.0,70.00,75.00,90.00,https://www.scu.edu.au/study-at-scu/courses/bachelor-of-nursing-3005105/,"This degree provides an outstanding combination of practical training while building knowledge about health assessment, diagnosis, person-centred care and plan development. This course responds to contemporary nursing practice and builds knowledge and skills in professional nursing, biological sciences and social sciences. Students learn in state-of-the-art facilities that include interactive models and simulation laboratories. Supervised clinical placements provide students practical experience in settings relevant to their areas of study, such as community settings, GP practices, health promotion and education, intensive care, mental health, aged care, accident and emergency, and palliative care. Some units are also available online.","Inherent requirements: Check the essential components of this course (knowledge, skills, capabilities) to achieve the course learning outcomes. Check the special requirements and policies for this course .",,True
770004,Bachelor of Music - Creative Technology (Audio),AIM,Australian Institute of Music,AI,A2000,,"on_campus,full_time,part_time","2_y_f,eqp","05,09,02,06",2025.0,NO,NO,NO,https://aim.edu.au/courses/bachelor-of-music-creative-technology/,"This is more than a traditional audio engineering program. You will go beyond the recording studio combining proven theory with practical experience as you record and create music in unique ways, helping you become a successful audio practitioner and to launch a fulfilling career. You will learn the technical theory and skills around capturing sound. But this specialisation is not just about learning to use the technology. It provides a structured learning environment in which you can apply your knowledge and skills creatively. The course can be completed in either two or three years of study - 6 study periods (2 years full-time accelerated) or 9 study periods (3 years + part-time equivalent).","Interview and portfolio: In addition to applying through UAC, applicants are required to attend an interview and submit a portfolio of your work. Your portfolio should include two contrasting items. At least one should be an original composition scores, recorded composition or arrangement, or original audio mix of a musical work. Find out more about auditioning at AIM .",,True
728145,Bachelor of Medical Science,WS,Western Sydney University,CA,A2560,,"on_campus,full_time,part_time",6_y_f,"03,07",2025.0,60.05,73.55,99.60,https://www.westernsydney.edu.au/future/study/courses/undergraduate/bachelor-of-medical-science.html,"You're fascinated by the science of medicine, how our bodies work, how disease and environment interact with our bodies. Medical Science will give you access to world class academic researchers who will teach you the science underpinning how the human body functions in health and disease. This will allow you to take your fascination and transform it into an amazing future. At the beginning of the first year, you'll choose a major (see areas of study), but you can change your major later in the course. You may also choose a second major, either from the School of Science or from another School e.g. Human Nutrition and Innovative Foods, or Biomedical Science and Business. Instead of a second major, the other eight subjects to complete your course are yours to choose-more subjects in Science or from other Schools or a combination of both.",,,True
650337,Tertiary Pathway Program - Nursing,UND,University of Notre Dame Australia,ND,A2007,,"on_campus,full_time,part_time","0.5_y_f,eqp","02,07",2024,<5,<5,<5,https://www.notredame.edu.au/study/applications-and-admissions/pathways/tertiary-pathway-program?utm_campaign=2025&amp;utm_source=uac&amp;utm_medium=web_link,"Notre Dame's Tertiary Pathway Program – Nursing is designed to help if you have not met the requirements for entry into the University’s undergraduate Health Sciences and Nursing degrees. The skills, knowledge and experience that you will develop during the semester are essential for successful transition to university. If you have strong academic results but do not meet the direct entry requirements into undergraduate studies, you may be eligible for an intensive on-campus four-week pathway program over the Summer Term. Following successful completion of the Tertiary Pathway Program – Nursing, you will be eligible for consideration for entry into Health Science degrees and our Bachelor of Nursing (although admission is not guaranteed). Additionally, the program will qualify you for entry into a range of other undergraduate degrees, including Arts and Sciences, Counselling, Behavioural Science, Communications and Media, Politics and International Relations, Business, Education (Primary or Secondary), Philosophy and Theology. See the general Tertiary Pathway Program entry for more details. The Tertiary Pathway Program – Nursing does not guarantee entry into Nursing and Midwifery, and is not a pathway for Law, Medicine and Physiotherapy",All applicants must complete Notre Dame's Individual Factors Form and upload it to their UAC application.,Refer to Notre Dame general admission criteria .,True
630463,Diploma of Music,SAE,SAE University College,BY,A2481,,"on_campus,full_time,part_time","0.75_y_f,eqp",05,2024,NO,NO,NO,,,,,False
630255,Diploma of Game Development,SAE,SAE University College,BY,A2481,,"on_campus,full_time,part_time","0.75_y_f,eqp",05,2024,NO,NO,NO,,,,,False
630245,Diploma of Film,SAE,SAE University College,BY,A2481,,"on_campus,full_time,part_time","0.75_y_f,eqp",05,2024,NO,NO,NO,,,,,False
630455,Diploma of Creative Industries,SAE,SAE University College,BY,A2481,,"on_campus,full_time,part_time","0.75_y_f,eqp",05,2024,NO,NO,NO,,,,,False
630235,Diploma of Audio Production,SAE,SAE University College,BY,A2481,,"on_campus,full_time,part_time","0.75_y_f,eqp",05,2024,NO,NO,NO,,,,,False
630225,Diploma of 3D Animation Production,SAE,SAE University College,BY,A2481,,"on_campus,full_time,part_time","0.75_y_f,eqp",05,2024,NO,NO,NO,,,,,False
